date,temp_mean,temp_max,temp_min,cloud_mean,cloud_max,humidity_mean,pressure_mean,wind_mean,wind_max,precip_sum,label
2020-05-27,28.787499999999998,30.8,27.4,61.125,99,84.625,1008.8958333333334,5.129166666666666,10.5,3.8000000000000003,rain
2020-05-28,27.962500000000002,29.3,26.5,89.91666666666667,100,86.0,1009.5583333333334,5.8999999999999995,13.4,4.3,rain
2020-05-29,28.579166666666666,30.6,26.1,78.625,100,84.375,1008.9,7.033333333333334,13.3,1.1,rain
2020-05-30,29.370833333333334,33.2,26.2,86.83333333333333,99,82.29166666666667,1009.9625,8.208333333333334,18.9,0.0,cloudy
2020-05-31,29.15416666666667,31.4,27.0,46.333333333333336,100,84.08333333333333,1009.8000000000001,6.625,13.7,0.2,cloudy
2020-06-01,29.34166666666667,31.6,27.2,45.541666666666664,100,80.08333333333333,1009.2291666666666,7.741666666666667,12.8,0.0,cloudy
2020-06-02,29.7375,33.9,26.7,63.958333333333336,100,78.125,1008.025,8.0,18.0,0.1,cloudy
2020-06-03,29.179166666666664,31.7,26.2,28.291666666666668,57,81.20833333333333,1007.1,8.7125,18.8,0.0,sunny
2020-06-04,29.808333333333334,32.7,27.1,64.45833333333333,98,76.875,1006.5791666666668,7.454166666666667,14.2,0.0,cloudy
2020-06-05,30.712500000000002,34.5,27.4,79.5,100,73.125,1006.3916666666668,9.570833333333333,16.9,0.0,cloudy
2020-06-06,30.65416666666667,33.5,27.8,75.75,98,72.5,1006.2708333333334,9.5375,18.5,0.1,cloudy
2020-06-07,31.150000000000002,36.3,27.4,89.75,100,68.375,1005.0875,13.458333333333334,26.1,0.0,cloudy
2020-06-08,31.433333333333334,35.6,27.7,84.0,100,66.95833333333333,1005.1708333333332,9.658333333333333,19.5,0.0,cloudy
2020-06-09,30.791666666666668,34.4,28.1,91.45833333333333,100,73.5,1006.1999999999999,11.4125,19.8,0.0,cloudy
2020-06-10,30.2375,32.7,28.1,78.58333333333333,99,77.0,1006.8541666666666,11.695833333333333,19.5,0.0,cloudy
2020-06-11,29.645833333333332,31.5,27.7,68.20833333333333,97,76.95833333333333,1006.0500000000001,10.058333333333334,14.9,0.0,cloudy
2020-06-12,29.825,32.6,27.4,29.0,99,76.875,1004.2583333333333,9.733333333333333,20.9,0.0,cloudy
2020-06-13,30.458333333333332,33.4,27.5,78.875,100,72.45833333333333,1003.1458333333334,10.049999999999999,18.0,0.0,cloudy
2020-06-14,30.21666666666667,34.2,27.5,99.75,100,72.70833333333333,1005.1083333333332,9.129166666666666,17.7,5.6000000000000005,rain
2020-06-15,28.9375,31.5,26.9,96.54166666666667,100,80.29166666666667,1007.85,8.704166666666667,15.4,2.5,rain
2020-06-16,28.087500000000002,29.6,27.3,96.625,100,81.75,1007.9875000000001,9.070833333333333,15.1,2.5,rain
2020-06-17,28.558333333333334,31.8,26.5,76.20833333333333,100,80.875,1007.1208333333334,8.091666666666667,15.7,0.1,cloudy
2020-06-18,28.929166666666664,32.5,26.1,20.625,59,79.95833333333333,1006.6458333333334,9.4,18.1,0.6000000000000001,rain
2020-06-19,28.825,30.5,26.2,30.25,79,83.29166666666667,1006.9333333333334,7.954166666666667,15.6,0.0,cloudy
2020-06-20,29.195833333333336,31.4,27.5,35.75,91,84.70833333333333,1006.8708333333334,11.645833333333334,23.0,0.1,cloudy
2020-06-21,29.766666666666666,32.8,26.7,3.5,13,78.25,1005.2666666666668,8.795833333333333,16.3,0.0,sunny
2020-06-22,30.008333333333336,33.7,27.2,16.208333333333332,70,77.16666666666667,1004.7541666666666,10.1625,19.6,0.0,cloudy
2020-06-23,30.625,34.8,27.4,49.708333333333336,94,73.08333333333333,1005.9416666666666,8.991666666666667,16.8,0.0,cloudy
2020-06-24,30.820833333333336,34.0,27.8,84.25,95,72.70833333333333,1005.5833333333334,10.279166666666667,18.4,0.0,cloudy
2020-06-25,30.933333333333334,34.2,28.5,91.875,100,72.0,1004.8249999999999,11.054166666666667,22.7,0.4,rain
2020-06-26,30.208333333333332,32.9,27.6,63.25,100,75.375,1005.8166666666666,10.362499999999999,22.3,0.0,cloudy
2020-06-27,29.954166666666666,32.6,27.5,25.625,95,74.95833333333333,1006.4333333333334,10.045833333333333,20.5,0.0,cloudy
2020-06-28,29.666666666666668,32.2,27.4,63.041666666666664,98,75.5,1005.9375,12.4125,20.2,0.0,cloudy
2020-06-29,29.775000000000002,32.3,27.6,71.0,96,73.95833333333333,1005.1416666666668,9.404166666666667,15.5,0.0,cloudy
2020-06-30,29.825,32.9,27.7,94.08333333333333,99,70.29166666666667,1004.3208333333333,11.141666666666666,19.4,0.7,rain
2020-07-01,29.245833333333334,31.8,27.5,97.95833333333333,100,75.91666666666667,1003.6583333333333,11.116666666666667,17.4,2.2,rain
2020-07-02,28.866666666666664,31.1,26.9,76.625,99,77.33333333333333,1003.4916666666667,9.158333333333333,17.1,2.8,rain
2020-07-03,28.6375,31.0,26.7,83.125,97,79.54166666666667,1005.5791666666668,6.7749999999999995,13.5,1.3,rain
2020-07-04,28.891666666666666,31.9,26.8,79.33333333333333,99,78.20833333333333,1006.9208333333332,6.8999999999999995,15.5,1.0,rain
